food name,calcium (mg),calories (kcal),carbohydrates (g),fats (g),fibre (g),folate (µg),free sugar (g),iron (mg),protein (g),sodium (mg),vitamin c (mg),Category
Cumin infused water (Jeere/Zeere ka pani),10.84,9.09,1.86,0.11,0.46,3.14,1.46,0.32,0.17,189.6,3.61,piece_based
Coco pine cooler,17.81,32.75,5.72,1.0,0.26,12.64,5.52,0.13,0.56,23.2,10.67,piece_based
Summer cooler,8.13,22.43,5.43,0.04,0.2,63.89,5.21,0.28,0.37,1.57,103.5,piece_based
Hot cocoa,113.66,90.1,9.23,4.56,0.0,13.79,9.01,0.31,3.36,24.2,3.62,piece_based
Cold coffee with ice cream,53.29,67.85,11.24,2.11,0.01,9.49,11.18,0.12,1.57,13.84,2.53,piece_based
Banana milkshake (Kele milkshake),62.64,65.31,9.15,2.37,0.26,19.83,7.96,0.13,1.84,13.61,6.84,piece_based
Mango milkshake (Aam milkshake),62.33,56.9,7.23,2.35,0.26,53.68,7.15,0.15,1.73,13.27,20.1,piece_based
Pineapple milkshake (Ananas milkshake),59.92,55.72,7.62,2.23,0.0,17.45,7.6,0.11,1.66,14.05,10.22,piece_based
Orange milkshake (Narangi milkshake),67.42,57.42,7.11,2.52,0.0,16.85,7.08,0.11,1.86,14.63,10.82,piece_based
Egg nog,102.13,97.14,8.15,5.11,0.02,41.91,8.06,0.43,4.78,40.65,4.82,piece_based
Sweet Lassi (Meethi lassi),45.65,35.66,6.51,0.68,0.0,18.0,6.51,0.03,1.29,18.31,1.0,piece_based
Lassi (salted),47.78,18.84,1.86,0.72,0.02,18.07,1.84,0.04,1.35,65.4,1.02,piece_based
Cheese and chilli sandwich ,113.79,218.11,27.4,9.78,2.08,16.14,2.38,0.99,6.8,437.5,12.3,piece_based
Egg sandwich (Ande ka sandwich),110.13,285.96,29.16,15.8,1.88,14.92,1.86,1.44,8.69,461.67,0.0,piece_based
Cucumber sandwich (Kheere ka sandwich),87.84,188.6,25.77,8.0,2.45,12.96,1.64,1.02,4.8,362.64,1.53,piece_based
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),199.73,257.71,29.1,12.8,2.33,12.08,4.1,1.04,8.2,571.96,3.64,piece_based
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),191.2,243.32,26.92,12.27,1.97,12.18,2.85,1.0,7.92,549.71,3.16,piece_based
Chicken sandwich,89.56,253.27,25.38,11.75,1.64,11.1,1.6,1.19,13.12,389.67,0.0,piece_based
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),94.03,291.43,28.54,16.14,4.03,22.04,2.82,1.58,9.53,364.99,3.16,piece_based
Rainbow sandwich,172.04,272.75,34.26,12.54,2.1,10.38,4.05,1.2,7.75,612.49,1.01,piece_based
Club sandwich ,115.68,235.32,18.51,15.12,1.81,17.42,2.01,0.86,7.31,461.66,6.0,piece_based
Vegetarian club sandwich,122.44,198.33,19.68,11.33,2.06,17.53,2.08,0.77,5.45,305.36,6.0,piece_based
Pin wheel sandwich,67.75,311.52,14.0,24.93,0.93,9.04,1.45,1.36,8.77,374.39,0.0,piece_based
Carrot apple sandwich (Gajar aur seb ka sandwich),118.05,214.11,29.04,9.12,3.66,21.7,5.3,1.8,5.3,302.88,2.7,piece_based
Salami sandwich,73.54,255.59,21.54,15.51,1.97,12.65,2.0,1.11,8.7,662.75,1.25,piece_based
Vegetable and mayonnaise sandwich,79.53,244.26,23.2,15.4,2.35,17.05,2.35,0.91,4.47,342.7,12.9,piece_based
Egg and tomato sandwich (Ande aur tamatar ka sandwich),95.71,222.11,25.9,10.51,1.77,16.33,2.09,1.3,7.66,423.26,1.98,piece_based
Sweet open sandwich,85.18,244.25,39.24,8.15,2.36,13.05,12.23,1.15,4.99,205.27,1.65,piece_based
Mushroom and cheese sandwich (toasted),172.35,227.42,21.01,13.01,2.28,12.7,2.11,0.84,7.79,456.57,0.0,piece_based
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),169.22,224.58,21.42,12.95,1.78,14.48,2.67,0.82,6.82,457.94,6.32,piece_based
Pea potato sandwich (toasted) (Matar aloo ka sandwich),64.15,164.9,25.17,5.43,2.89,21.01,1.33,1.11,4.6,262.63,14.11,piece_based
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),274.1,249.56,24.05,11.98,2.12,52.13,6.4,1.26,12.4,268.9,4.85,piece_based
Chicken sandwich (toasted),99.99,167.37,18.82,5.32,1.64,20.71,2.13,0.99,12.08,327.55,12.97,piece_based
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),70.79,171.78,20.26,5.61,2.45,18.29,1.94,1.51,11.06,290.07,5.5,piece_based
Classic club sandwich,107.73,200.83,18.49,11.56,1.62,56.9,1.86,1.09,6.74,277.49,16.19,piece_based
Sesame toast,43.44,495.19,11.15,49.38,1.32,8.87,1.46,0.72,1.9,128.78,6.92,piece_based
Cracked wheat porridge (Meetha daliya),75.88,81.57,8.87,4.08,0.62,17.58,5.12,0.32,2.64,15.89,5.03,katori_based
Semolina porridge (Suji/Rava daliya),108.52,100.89,12.39,4.08,0.7,22.71,7.54,0.36,3.75,23.21,5.03,katori_based
Oatmeal Porridge,76.83,72.85,8.77,3.22,0.39,23.98,5.2,0.28,2.6,16.14,5.03,piece_based
Cornflakes with milk,106.47,117.33,14.95,5.12,0.78,43.87,9.97,0.42,3.59,26.55,4.82,piece_based
Rice flakes (Chiwda/Aval),103.15,112.44,15.57,3.99,0.37,19.41,7.28,0.62,3.62,22.4,4.82,bowl_based
Wheat flakes,103.15,112.44,15.57,3.99,0.37,19.41,7.28,0.62,3.62,22.4,4.82,piece_based
Murmura (Puffed rice),103.79,113.32,15.67,4.04,0.28,16.87,7.31,0.63,3.62,22.52,4.82,bowl_based
Puffed wheat (Murmure/Moori),103.79,113.32,15.67,4.04,0.28,16.87,7.31,0.63,3.62,22.52,4.82,piece_based
Boiled egg (Ubla anda),17.75,45.35,0.12,3.04,0.11,24.77,0.0,0.64,4.43,170.94,0.0,piece_based
Fried Egg ,46.4,223.67,0.31,19.62,0.29,24.77,0.0,1.69,11.59,446.96,0.0,piece_based
Poached egg,48.24,123.87,0.37,8.19,0.3,24.77,0.05,1.75,11.98,1163.07,0.0,piece_based
Scrambled egg (Ande ki bhurji),64.59,155.97,1.35,12.21,0.24,25.82,1.08,1.42,10.29,374.66,0.3,piece_based
Baked egg ,164.05,218.85,15.42,12.65,1.03,35.72,1.66,1.48,11.88,523.29,0.0,piece_based
Plain omelette/omlet,48.4,272.41,0.64,25.74,0.12,50.48,0.51,1.35,9.66,226.18,0.3,piece_based
Stuffed egg omelette/omlet,89.91,203.51,2.3,17.77,0.75,70.23,1.57,0.91,8.6,267.19,8.29,piece_based
Pancake,79.49,203.36,20.49,10.82,0.65,5.43,3.32,0.69,5.68,143.7,0.5,piece_based
Keema pancake,40.96,176.27,9.56,11.25,0.84,12.23,2.2,0.93,9.01,125.4,4.64,piece_based
Vegetable pancake,42.89,125.18,12.24,6.57,2.48,28.57,2.09,0.79,3.87,116.69,20.63,piece_based
Jam and fruit pancake,54.06,162.02,20.73,7.01,1.21,8.42,7.85,0.52,3.79,93.09,6.48,piece_based
Khoa and coconut pancake,157.22,271.98,27.32,15.29,1.65,19.12,16.47,1.12,6.98,101.0,0.73,piece_based
Brown stock,17.16,21.32,0.25,1.38,0.09,6.33,0.14,0.3,1.95,44.6,1.5,piece_based
Vegetable stock,5.08,17.6,0.96,1.38,0.38,13.92,0.44,0.12,0.3,49.75,7.58,piece_based
Chicken stock,3.57,29.88,0.37,1.51,0.1,10.19,0.2,0.18,3.69,58.58,0.84,piece_based
Clear tomato soup (Tamatar ka soup),29.05,80.07,3.45,12.22,1.96,43.91,1.44,1.14,4.79,5135.74,53.16,katori_based
Lentil soup,40.57,31.17,3.94,11.68,2.57,34.92,1.06,2.26,9.65,10418.84,17.9,katori_based
Chicken consomme (Clear chicken soup),35.48,47.94,1.19,12.02,1.57,11.38,0.54,1.82,11.47,8953.64,2.1,katori_based
Cream of tomato soup,39.61,97.81,3.93,13.12,1.38,44.01,1.81,0.95,4.61,4461.22,53.23,katori_based
Cream of green peas soup,51.01,127.84,6.75,14.78,2.95,88.58,1.61,1.48,7.13,4999.7,52.28,katori_based
Cream of spinach soup,70.77,100.54,3.45,13.31,1.74,298.06,1.13,2.1,5.21,4429.81,63.34,katori_based
Cream of mixed vegetable soup,65.26,59.65,4.93,9.05,2.14,54.46,2.1,1.36,6.84,5655.45,39.02,katori_based
Cream of mushroom soup,70.56,117.28,3.74,15.5,1.34,30.72,1.93,1.81,6.64,5276.06,5.79,katori_based
Chicken sweet corn soup,91.5,28.32,1.63,12.59,0.47,13.45,0.27,3.83,14.48,12205.33,2.02,katori_based
Minestrone soup,53.55,42.66,3.71,11.09,1.92,23.24,1.01,1.82,9.3,8875.06,19.43,katori_based
Egg drop soup,100.14,26.64,1.1,13.52,0.81,28.19,0.6,3.93,12.93,12418.84,8.51,katori_based
Chinese cabbage and meat ball soup,41.07,484.31,1.43,56.57,0.57,20.33,0.37,1.52,5.21,4249.41,16.72,katori_based
French onion soup,106.22,55.61,4.28,14.39,1.01,24.85,1.5,3.52,11.41,11202.89,5.35,katori_based
Hot and sour soup,10.68,31.51,1.78,1.31,0.6,39.83,0.66,0.43,3.12,163.26,24.59,katori_based
Talaumein soup,42.33,35.63,4.17,12.78,1.94,48.58,0.77,2.23,10.12,11088.14,12.62,katori_based
Cold cucumber soup (Thanda kheere ka soup),99.79,48.03,4.58,1.99,0.88,27.42,3.34,0.32,2.99,121.32,5.05,katori_based
Cold summer garden soup,43.93,49.19,2.65,14.08,1.86,43.26,0.46,2.13,8.57,9919.62,16.3,katori_based
Chapati/Roti,17.22,202.31,35.65,3.56,6.31,5.84,1.0,2.28,5.88,1.16,0.0,piece_based
Plain parantha/paratha,14.81,298.3,30.69,16.86,5.43,7.79,0.86,1.98,5.06,62.07,0.0,piece_based
Potato parantha/paratha (Aloo ka parantha/paratha),17.38,205.04,23.92,10.22,4.18,14.96,1.15,1.52,3.7,127.2,7.98,piece_based
Radish parantha/paratha (Mooli ka parantha/paratha),23.75,183.52,20.54,9.53,4.32,20.74,1.31,1.39,3.3,127.03,8.44,piece_based
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),22.0,178.07,18.84,9.47,4.68,26.32,1.15,1.59,3.73,190.03,17.61,piece_based
Dal parantha/paratha,23.89,268.24,30.03,13.05,6.46,29.02,1.43,2.45,6.78,156.13,1.8,katori_based
Sprouted moong parantha/paratha,20.33,228.59,24.31,12.43,4.49,12.52,1.47,1.94,4.29,153.94,2.0,piece_based
Pea parantha/paratha (Matar ka parantha/paratha),23.49,190.73,21.51,8.8,5.61,33.64,1.29,1.78,5.59,109.99,17.8,piece_based
Keema parantha/paratha,19.35,238.09,18.36,13.91,3.44,11.49,0.99,1.8,9.41,140.62,1.8,piece_based
Paneer parantha/paratha,127.65,262.97,24.33,14.62,4.0,29.0,3.77,1.7,7.98,142.52,1.69,piece_based
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),33.07,216.49,21.39,12.09,4.39,50.53,1.31,1.85,5.54,177.19,6.65,piece_based
Poori,3.98,737.63,8.22,77.61,1.46,4.68,0.23,0.6,1.35,31.73,0.0,piece_based
Spinach poori (Palak poori),10.02,684.25,7.76,71.86,1.55,18.9,0.24,0.79,1.42,35.47,3.03,piece_based
Methi poori,14.61,710.02,7.98,74.6,1.61,8.47,0.26,0.81,1.45,35.37,2.91,piece_based
Dal stuffed poori,6.88,785.16,10.14,81.69,1.96,7.65,0.29,0.83,2.08,128.18,0.42,katori_based
Potato stuffed poori (Aloo ki poori),5.57,776.74,9.4,81.35,1.64,5.63,0.26,0.7,1.52,69.86,1.39,piece_based
Tandoori parantha/paratha,14.98,295.37,30.74,16.51,5.44,7.79,0.86,1.96,5.08,1.14,0.0,piece_based
Boiled rice (Uble chawal),2.7,117.19,25.72,0.18,1.25,9.75,0.22,0.24,2.6,1.05,0.0,bowl_based
Plain pulao,12.76,140.21,21.82,4.62,1.69,22.63,1.15,0.41,2.34,193.76,3.42,piece_based
Mixed vegetable pulao,19.61,113.05,17.49,3.33,2.67,80.63,1.35,0.6,2.72,187.92,26.15,piece_based
Mushroom pulao,13.54,124.29,19.02,4.03,1.88,26.77,1.0,0.39,2.52,222.36,3.42,piece_based
Sprouted moong pulao,16.26,112.97,17.49,3.61,1.78,43.15,1.43,0.65,2.19,153.16,7.53,piece_based
Paneer pulao,33.09,581.91,8.76,59.81,0.62,69.28,1.11,0.26,1.98,72.28,3.42,piece_based
Peanut pulao ,18.52,193.28,21.18,9.51,2.9,68.06,1.6,0.83,5.32,168.4,3.42,piece_based
Navratan pulao,59.61,261.71,36.98,9.45,3.82,46.97,2.52,1.1,6.2,334.26,12.89,piece_based
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),18.94,173.43,27.57,4.82,3.15,301.13,2.48,0.95,4.88,170.05,5.43,piece_based
Mutton biryani/biriyani,68.58,190.76,22.5,7.72,2.42,30.07,2.39,1.29,7.38,262.64,10.28,bowl_based
Vegetable biryani/biriyani,33.52,174.61,18.56,9.51,3.31,77.54,2.14,0.86,3.16,183.79,39.35,bowl_based
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",12.7,176.3,21.62,7.88,2.52,38.01,0.78,0.77,4.26,187.11,10.2,bowl_based
Sweet rice (Meethe chawal),11.38,215.41,42.59,4.57,1.13,10.65,24.8,0.34,2.1,3.2,0.21,bowl_based
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),101.52,195.74,32.93,4.32,2.13,28.24,3.91,0.59,5.75,213.29,5.1,bowl_based
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),50.94,373.04,65.08,8.53,5.12,23.02,11.65,2.89,7.45,162.41,0.84,bowl_based
Spanish rice,18.93,164.24,31.1,2.23,2.78,54.48,1.26,0.92,4.19,96.61,48.66,bowl_based
Chinese fried rice,34.7,120.58,13.4,5.43,2.31,136.83,1.47,0.99,4.05,248.36,67.39,bowl_based
Macroni cheese pie,122.01,170.63,21.1,7.48,0.4,28.19,3.4,0.54,5.85,200.51,14.65,piece_based
Vegetable chowmein,28.33,129.71,15.44,6.36,1.86,99.36,1.97,0.99,3.07,258.47,85.39,piece_based
Chicken chowmein,26.1,151.33,13.3,8.23,1.64,102.27,1.63,0.89,6.33,288.15,84.96,piece_based
Cheese noodle ring,99.3,133.67,13.96,6.12,1.27,94.77,2.84,0.79,6.22,241.96,24.19,bowl_based
Spaghetti and cheese balls in tomato sauce,40.59,508.32,7.82,52.08,0.59,115.96,1.83,0.32,2.41,104.14,57.67,piece_based
Penne platter,67.67,177.4,20.87,8.71,1.09,60.2,4.5,0.9,5.04,283.37,16.35,piece_based
Pasta hot pot,55.28,125.17,11.6,6.47,0.8,111.3,5.99,0.82,5.84,231.17,58.74,bowl_based
Chicken lasagne,119.98,187.49,13.9,10.36,0.11,61.02,2.74,0.64,10.45,238.55,4.23,piece_based
Fettuccine with spinach sauce,53.67,129.21,12.19,7.83,0.77,170.92,1.18,1.28,3.1,153.59,38.37,piece_based
Naan,88.01,286.45,51.75,4.99,1.91,7.56,5.59,1.29,8.05,326.11,0.23,piece_based
Bhatura,12.12,793.2,10.73,82.56,0.38,4.15,0.69,0.33,1.63,28.3,0.05,piece_based
Idli,8.0,137.54,28.18,0.33,2.31,2.95,0.28,0.68,4.64,100.83,0.0,piece_based
Masala dosa,15.58,164.58,19.57,7.84,2.52,35.76,1.33,0.79,3.29,191.28,14.14,piece_based
Semolina dosa (Suji/Rava dosa),116.04,227.05,32.84,7.12,4.04,15.86,4.37,1.39,7.3,202.36,2.28,piece_based
Onion tomato uttapam,5.82,462.02,11.32,45.3,1.26,11.68,0.8,0.36,1.91,143.53,4.78,piece_based
Paneer kaathi roll,101.66,285.94,20.1,19.55,2.4,54.04,3.29,1.42,6.92,221.03,18.67,piece_based
Makki ki roti,14.76,263.97,24.19,16.85,5.19,10.72,0.7,1.11,3.49,236.22,1.99,piece_based
Washed moong dal (Dhuli moong ki dal),8.48,50.0,5.91,1.68,1.17,27.98,0.12,0.64,2.68,150.64,0.04,katori_based
Washed urad dal (Dhuli urad ki dal),10.24,61.32,5.84,2.98,1.53,30.4,0.32,0.72,2.51,142.21,0.99,katori_based
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),14.33,73.25,7.1,3.6,2.72,90.42,1.05,0.99,2.79,149.47,15.2,katori_based
Dry washed urad,27.08,124.71,15.66,3.5,4.06,40.3,0.73,1.89,6.85,295.79,1.46,piece_based
Mixed dal,11.0,61.93,5.79,3.1,1.62,40.35,0.34,0.78,2.51,141.36,1.1,katori_based
Whole moong (Moong ki dal),13.58,53.7,5.22,2.56,2.02,55.37,0.59,0.68,2.25,123.86,11.04,katori_based
Whole masoor (Masoor ki dal),12.2,54.05,5.37,2.52,1.98,48.17,0.67,0.95,2.28,123.72,11.04,katori_based
Whole moth (Moth ki dal),18.98,55.0,5.74,2.62,1.85,116.57,0.66,0.95,2.01,125.08,11.04,katori_based
Whole urad (Urad ki dal),13.07,53.8,5.05,2.62,2.32,51.6,0.57,0.78,2.21,126.12,10.28,katori_based
Moti mahal dal (Urad rajmah mix dal),38.13,103.13,8.74,5.66,3.38,93.14,1.7,1.05,3.93,157.61,15.45,katori_based
Black channa curry/Bengal gram curry (Kale chane ki curry),53.87,140.68,14.11,6.61,7.99,87.38,2.36,2.43,5.67,358.63,15.13,katori_based
Chickpeas curry (Safed channa curry),30.61,163.43,19.98,6.84,4.73,184.58,4.78,1.82,6.1,357.99,16.33,katori_based
Lobia curry,36.8,148.99,17.88,5.62,4.57,86.78,2.51,2.21,6.06,355.41,15.13,katori_based
Soyabean curry,65.13,163.28,6.76,10.19,7.34,103.88,2.66,2.79,10.43,352.69,15.13,katori_based
Kidney bean curry (Rajmah curry),47.87,143.73,16.38,5.77,5.83,112.28,2.49,2.27,5.95,354.6,16.33,katori_based
Sambar,30.24,96.92,10.57,4.38,3.52,68.19,3.31,1.24,3.35,159.54,20.35,piece_based
Besan kadhi with pakodies,24.53,403.35,3.56,42.59,0.81,77.03,0.88,0.38,1.64,60.8,4.17,piece_based
Khatta channa,40.77,202.57,21.14,10.56,5.26,244.23,4.75,1.94,6.3,513.32,20.89,piece_based
Sprouted moong dal chat,16.54,32.47,6.01,0.32,1.35,43.12,1.57,0.88,1.35,87.07,38.78,katori_based
Potato cauliflower (Aloo gobhi),22.87,106.18,5.99,8.13,3.02,55.94,0.44,1.07,1.9,254.76,61.11,piece_based
Potato capsicum (Shimla mirch aloo),16.45,125.53,8.72,9.33,2.02,39.8,0.54,0.86,1.41,277.92,81.26,piece_based
Cabbage and peas (Pattagobhi aur matar),45.5,63.88,6.24,2.64,3.99,75.95,0.97,1.1,3.24,253.73,54.84,piece_based
Carrot and fenugreek leaves (Gajar methi),128.83,61.92,4.17,3.81,4.43,81.67,2.11,2.72,2.1,262.91,51.83,piece_based
Potato fenugreek (Aloo methi),107.8,135.15,8.47,10.04,2.93,73.14,0.54,2.53,2.25,221.93,68.76,piece_based
Brinjal bhartha (Baingan ka bhartha),17.85,65.12,4.4,4.48,3.27,92.42,1.82,0.48,1.38,132.15,24.05,piece_based
Dry potato (Sookhe aloo),17.2,103.15,14.38,4.18,1.88,15.7,0.33,0.83,1.62,199.99,23.23,piece_based
Beans with coconut (Nariyal aur sem/phali; Beans thoran),51.92,131.63,4.39,11.39,5.59,75.87,2.06,1.34,2.62,271.65,6.03,piece_based
Cauliflower with coconut (Nariyal ke saath phoolgobhi),35.37,132.11,3.99,11.56,5.27,59.84,1.71,1.33,2.64,286.06,51.79,piece_based
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),48.63,106.61,4.99,8.62,4.52,72.27,2.36,0.84,1.82,219.6,41.01,piece_based
Raw turnip with coconut ,50.65,132.15,5.78,11.47,2.79,27.89,4.4,0.82,1.8,275.55,21.65,piece_based
Raw papaya with coconut (Papaya thoran),33.74,132.75,5.58,11.42,4.31,43.68,3.82,0.82,1.54,270.56,25.38,piece_based
Stuffed okra (Bharwa bhindi),86.89,94.34,3.85,7.66,4.15,63.97,0.48,1.18,2.08,210.03,22.65,piece_based
Stuffed round gourd (Bharwa tinde),20.21,72.8,4.02,5.75,2.1,71.07,1.96,0.59,1.1,180.15,37.36,piece_based
Stuffed capsicum (Bharwa shimla mirch),15.17,90.94,8.26,5.7,2.01,38.35,1.21,0.61,1.34,173.94,74.25,piece_based
Stuffed brinjal (Bharwa baingan),24.37,93.0,3.96,7.73,4.09,17.11,0.92,0.75,1.53,212.88,1.13,piece_based
Stuffed tomatoes (Bharwa tamatar),59.16,93.35,6.19,6.06,2.2,37.42,2.68,0.62,3.28,165.85,28.23,piece_based
Pea potato curry (Aloo matar),21.1,100.92,9.74,5.13,3.61,88.11,1.86,1.02,3.48,154.83,70.01,katori_based
Pea paneer curry (Matar paneer),105.2,134.83,9.29,7.75,3.3,127.01,3.89,1.08,6.61,157.34,58.44,katori_based
